"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","NAME","INST","COUNTRY"
"BITR",2007,39,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2007,39,1,"SE","Kathy Stoner","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2008,40,1,"SE","Diego Perez-Salicrup","National Autonomous University of Mexico UNAM","Mexico"
"BITR",2008,40,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2008,40,1,"SE","Kathy Stoner","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2009,41,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2009,41,1,"SE","Kathy Stoner","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2010,42,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2010,42,1,"SE","Kathy Stoner","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2011,43,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2011,43,1,"SE","Kathy Stoner","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2012,44,1,"SE","Mauricio Quesada","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2013,45,1,"SE","Karina Boege","UNAM National Autonomous University of Mexico","Mexico"
"BITR",2009,41,1,"SE","Graciela Garcia-Guzman","UNAM National Autonomous University of Mexico","Mexico "
"BITR",2010,42,1,"SE","Graciela Garcia-Guzman","UNAM National Autonomous University of Mexico","Mexico "
"BITR",2011,43,1,"SE","Graciela Garcia-Guzman","UNAM National Autonomous University of Mexico","Mexico "
"BITR",2012,44,1,"SE","Graciela Garcia-Guzman","UNAM National Autonomous University of Mexico","Mexico "
"BITR",2012,44,1,"SE","Jorge Meave del Castillo","UNAM National Autonomous University of Mexico","Mexico "
"BITR",2013,45,1,"SE","Graciela Garcia-Guzman","UNAM National Autonomous University of Mexico","Mexico "
"BITR",2013,45,1,"SE","Jorge Meave del Castillo","UNAM National Autonomous University of Mexico","Mexico "
"BITR",1993,25,1,"SE","Anthony Anderson","na","na"
"BITR",1993,25,1,"SE","Woodruff Benson","na","na"
"BITR",1993,25,1,"SE","Sandra Brown","na","na"
"BITR",1993,25,1,"SE","Antoine M Cleef","na","na"
"BITR",1993,25,1,"SE","Paul A Colinvaux","na","na"
"BITR",1993,25,1,"SE","Robert K Colwell","na","na"
"BITR",1993,25,1,"SE","Mercedes S Foster","na","na"
"BITR",1993,25,1,"SE","Madhav Gadgil","na","na"
"BITR",1993,25,1,"SE","Harold Heatwole","na","na"
"BITR",1993,25,1,"SE","William M Lewis Jr","na","na"
"BITR",1993,25,1,"SE","Thomas Lovejoy","na","na"
"BITR",1993,25,1,"SE","Ernesto Medina","na","na"
"BITR",1993,25,1,"SE","Ong Jin Eong","na","na"
"BITR",1993,25,1,"SE","Betty J Meggers","na","na"
"BITR",1993,25,1,"SE","Francis E Putz","na","na"
"BITR",1993,25,1,"SE","Jose Sarukhan","na","na"
"BITR",1993,25,1,"SE","John Terborgh","na","na"
"BITR",1993,25,1,"SE","Peter M Vitousek","na","na"
"BITR",1993,25,1,"SE","Mary Jane West-Eberhard","na","na"
"BITR",1993,25,1,"SE","Edward O Wilson","na","na"
