"","JOURNAL","YEAR","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","COUNTRY","editor_id","UNIT","CITY","STATE"
"105","BITR",1999,"Rodolfo",NA,"Dirzo","Universidad Nacaional Autonoma de Mexico","Mexico",3041,NA,NA,NA
"106","BITR",2004,"Mauricio",NA,"Quesada","Universidad Nacaional Autonoma de Mexico","Mexico",2529,NA,NA,NA
"107","BITR",2006,"Diego",NA,"Perez-Salicrup","Universidad Nacaional Autonoma de Mexico","Mexico",816,NA,NA,NA
"108","BITR",2006,"Kathy",NA,"Stoner","Universidad Nacaional Autonoma de Mexico","Mexico",2098,NA,NA,NA
"109","BITR",2009,"Graciela",NA,"Garcia-Guzman","Universidad Nacaional Autonoma de Mexico","Mexico",1182,NA,NA,NA
"110","BITR",2012,"Jorge","Meave","DelCastillo","Universidad Nacaional Autonoma de Mexico","Mexico",1539,NA,NA,NA
"111","BITR",2013,"Karina",NA,"Boege","Universidad Nacaional Autonoma de Mexico","Mexico",1980,NA,NA,NA
"112","BITR",2001,"Augusto","C","Franco","Universidade de Brasilia","Brazil",80,NA,NA,NA
"113","BITR",2003,"Ary","T","DeOliveira-Filho","Universidade de Brasilia","Brazil",53,NA,NA,NA
"114","BITR",2013,"Heraldo",NA,"Vasconcelos","Universidade Federal De Uberlandia","Brazil",1372,NA,NA,NA
"115","BITR",1997,"Paulo",NA,"Oliveira","Universidade Estadual de Campinas (UNICAMP)","Brazil",2884,NA,NA,NA
"116","BITR",2008,"Michelle",NA,"Pinard","University of Aberdeen","United Kingdom",2516,NA,NA,NA
"117","BITR",2009,"Corey",NA,"Bradshaw","University of Adelaide","Australia",403,NA,NA,NA
"118","BITR",2003,"R","Uma","Shaanker","University of Agricultural Science Bangalore","India",3216,NA,NA,NA
"119","BITR",2002,"Robert",NA,"Lawton","University of Alabama Huntsville","USA",3130,NA,NA,NA
"120","BITR",2005,"Arturo",NA,"Sanchez-Azofeifa","University of Alberta","Canada",189,NA,NA,NA
"121","BITR",2012,"Elizabeth",NA,"Arnold","University of Arizona","USA",931,NA,NA,NA
"122","BITR",2012,"Luitgard",NA,"Schwendenmann","University of Auckland","New Zealand",2240,NA,NA,NA
"123","BITR",2007,"Philip",NA,"Rundel","University of California Los Angeles","USA",2911,NA,NA,NA
"124","BITR",2008,"Thomas",NA,"Gillespie","University of California Los Angeles","USA",3556,NA,NA,NA
"125","BITR",2013,"Stacy",NA,"Philpott","University of California Santa Cruz","USA",3436,NA,NA,NA
"126","BITR",2012,"Toby",NA,"Gardner","University of Cambridge","United Kingdom",3551,NA,NA,NA
"127","BITR",2004,"Robin",NA,"Chazdon","University of Connetticut","USA",3016,NA,"Storrs",NA
"128","BITR",2005,"Carlos",NA,"Peres","University of East Anglia","England",551,NA,NA,NA
"129","BITR",1999,"Douglas",NA,"Levey","University of Florida","USA",760,NA,"Gainesville","Florida"
"130","BITR",2002,"Daniel",NA,"Zarin","University of Florida","USA",925,NA,"Gainesville","Florida"
"131","BITR",2006,"John",NA,"Blake","University of Florida","USA",1469,NA,"Gainesville","Florida"
"132","BITR",2007,"Emilio","M","Bruna","University of Florida","USA",941,NA,"Gainesville","Florida"
"133","BITR",1998,"James","L","Hamrick","University of Georgia","USA",1620,NA,NA,NA
"134","BITR",2013,"Donald",NA,"Drake","University of Hawaii","USA",672,NA,NA,NA
"135","BITR",2001,"David",NA,"Dudgeon","University of Hong Kong","China",674,"Freshwater biology ",NA,NA
"136","BITR",2002,"Kevin",NA,"Hyde","University of Hong Kong","China",2020,NA,NA,NA
"137","BITR",1987,"B","Adebayo","Lasebikan","University of Ife","Nigeria",306,NA,NA,NA
"138","BITR",2007,"Rainer",NA,"Wirth","University of Kaiserslautern","Germany",3253,NA,NA,NA
"139","BITR",2009,"Adolfo",NA,"Amezquita","University of Los Andes Bogota","Colombia",4,NA,NA,NA
"140","BITR",1969,"William","Louid","Stern","University of Maryland","USA",3809,NA,NA,NA
"141","BITR",1997,"Theodore",NA,"Fleming","University of Miami","USA",3546,NA,NA,NA
"142","BITR",2012,"Christopher",NA,"Dick","University of Michigan","USA",434,NA,NA,NA
"143","BITR",2013,"Jennifer",NA,"Powers","University of Minnesota","USA",1817,NA,NA,NA
"144","BITR",1997,"Robert","J","Marquis","University of Missouri St Louis","USA",3142,NA,NA,NA
"145","BITR",2003,"Michael",NA,"Lawes","University of Natal","South Africa",2442,NA,NA,NA
"146","BITR",2007,"Rebecca",NA,"Morris","University of Oxford","United Kingdom",3164,NA,NA,NA
"147","BITR",2009,"Shonil",NA,"Bhagwat","University of Oxford","United Kingdom",3281,NA,NA,NA
"148","BITR",2012,"Ingrid",NA,"Parmentier","University of Oxford","Belgium",1413,NA,NA,NA
"149","BITR",2012,"Kate",NA,"Parr","University of Oxford","United Kingdom",2067,NA,NA,NA
"150","BITR",1999,"James",NA,"Ackerman","University of Puerto Rico","USA",1431,NA,NA,NA
"151","BITR",2002,"David",NA,"Lamb","University of Queensland","Australia",754,NA,NA,NA
"152","BITR",1998,"John",NA,"Proctor","University of Stirling","Scotland",1819,NA,NA,NA
"153","BITR",2013,"Orou",NA,"Gaoue","University of Tennessee","USA",2717,NA,NA,NA
"154","BITR",2004,"Hanna",NA,"Tuomisto","University of Turku","Finland",1370,NA,NA,NA
"155","BITR",2004,"Elisabeth","KV","Kalko","University of Ulm","Germany",985,NA,NA,NA
"156","BITR",1997,"Diane",NA,"Davidson","University of Utah","USA",662,NA,NA,NA
"157","BITR",2005,"Donald","H","Feener","University of Utah","USA",684,NA,NA,NA
"158","BITR",2009,"Stefan",NA,"Schnitzer","University of Wisconsin Milwaukee","USA",3464,NA,NA,NA
"159","BITR",1999,"John","J","Ewel","US Forest Service, USDA","USA",1566,NA,NA,NA
"160","BITR",1999,"D","Jean","Lodge","US Forest Service, USDA","USA",766,NA,NA,NA
"161","BITR",2012,"Marcella",NA,"Kelly","Virginia Tech","USA",2431,NA,NA,NA
"162","BITR",2012,"Pieter","A","Zuidema","Wageningen University","Netherlands",2960,NA,NA,NA
"163","BITR",2006,"Qing-Jun",NA,"Li","Xishuangbanna Tropical Botanical Garden","China",2963,NA,NA,NA
"164","BITR",2013,"Ferry",NA,"Slik","Xishuangbanna Tropical Botanical Garden,CAS","China",1132,NA,NA,NA
"165","BITR",2004,"Mark",NA,"Ashton","Yale University","USA",2278,NA,NA,NA
"166","LECO",1987,"Frank","B","Golley","University of Georgia","USA",1072,"Institute of Ecology","Athens","GA"
"167","LECO",1998,"J",NA,"Brandt","Roskilde University","Denmark",1480,"Institute of Geography and International Development Studies","Roskilde",NA
"168","LECO",1998,"H",NA,"Decamps","Centre d'Ecologie des Ressources Renouvelables","France",1295,NA,"Toulouse Cedex",NA
"169","LECO",1998,"R","TT","Forman","Harvard University","USA",3060,"Graduate School of Design","Cambridge","MA"
"170","LECO",1998,"E",NA,"Fuentes","Universidad Catolica de Chile","Chile",968,"Fac. De Ciencias Biologicas","Santiago",NA
"171","LECO",1998,"R","H","Gardner","Appalachian Environmental Laboratory","USA",3067,NA,"Frostburg","MD"
"172","LECO",1998,"W",NA,"Haber","Lehrstuhl fur Landschaftsokologie der Technischen Universitat Munchen","Germany",3744,NA,NA,"Freising-Weihenstephan"
"173","LECO",1998,"C","W","Johnson","South Dakota State University","USA",492,"Department of Horticulture and Forestry","Brookings","SD"
"174","LECO",1998,"F",NA,"Kienast","Swiss Federal Institute for Forest, Snow and Landscape Research","Switzerland",1090,NA,"Birmensdorf",NA
"175","LECO",1998,"N",NA,"Nakagoshi","Hiroshima University","Japan",2674,"Faculty of Integrated Arts and Sciences","Hiroshima",NA
"176","LECO",1998,"Z",NA,"Naveh","Technion-Israel Institute of Technology","Israel",3846,"The Lowdermilk Faculty of Agricultural Engineering","Haifa",NA
"177","LECO",1998,"A","F","Ramos","Ciudad Universitaria","Spain",177,"Catedra de Planficacion, Ets Ingenieros de Montes","Madrid",NA
"178","LECO",1998,"M",NA,"Ruzicka","Center of Biological and Ecological Sciences","Slovakia",2546,"Department of Landscape Ecology","Bratislava",NA
"179","LECO",1998,"M",NA,"Turner","Oak Ridge National Laboratory","USA",2580,"Environmental Sciences Division","Oak Ridge","TN"
"180","LECO",1998,"E",NA,"VanDer","University of Uppsala","Sweden",1034,"Institute of Ecological Botany","Uppsala",NA
"181","LECO",1998,"J","A","Wiens","Colorado State University","USA",3912,"Department of Biology","Fort Collins","CO"
"182","LECO",1999,"Juan",NA,"Abad","Universidad de Alicante","Spain",1429,"Department of Ecology",NA,NA
"183","LECO",1999,"Marc",NA,"Antrop","University of Ghent","Belgium",2274,"Department of Geography",NA,NA
"184","LECO",1999,"Daniel",NA,"Brown","Michigan State University","USA",637,"Department of Geography",NA,NA
"185","LECO",1999,"Robert",NA,"Bunce","Merlewood Research Station","United Kingdom",3002,"Institute of Terrestrial Ecology",NA,NA
"186","LECO",1999,"David",NA,"Butler","Southwest Texas State University","USA",640,"Department of Geography & Planning",NA,NA
"187","LECO",1999,"Virginia",NA,"Dale","Oak Ridge National Laboratory","USA",3678,"Environmental Sciences Division",NA,NA
"188","LECO",1999,"L",NA,"Fahrig","Carleton University","Canada",2144,"Department of Biology",NA,NA
"189","LECO",1999,"M",NA,"Fortin","Universite de Montreal","Canada",2373,"Department de Geographie",NA,NA
"190","LECO",1999,"L",NA,"Hannson","SLU","Sweden",2162,"Department of Conservation Biology",NA,NA
"191","LECO",1999,"R",NA,"Hobbs","CSIRO Wildlife & Ecology","Australia",3091,NA,NA,NA
"192","LECO",1999,"Louis",NA,"Iverson","USDA Forest Service","USA",2178,NA,NA,NA
