,JOURNAL,YEAR,FIRST_NAME,MIDDLE_NAME,LAST_NAME,editor_id,INST,UNIT,CITY,STATE,COUNTRY,source,code
71,LECO,1988,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
72,LECO,1989,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
73,LECO,1990,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
74,LECO,1991,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
75,LECO,1992,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
76,LECO,1993,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
77,LECO,1994,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
78,LECO,1995,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
79,LECO,1996,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
80,LECO,1997,E,NA,VanDer,1034,NA,NA,NA,NA,Sweden,SciWri17,SCIWRI_butnot_DRYAD
81,LECO,2012,B,L,Turner,371,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
82,LECO,2012,M,Green,Turner,2580,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
83,LECO,2012,J,A,Wiens,3912,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
84,LECO,2013,B,L,Turner,371,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
85,LECO,2013,M,Green,Turner,2580,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
86,LECO,2013,J,A,Wiens,3912,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
87,JANE,2008,Dan,NA,Tomkins,893,NA,NA,NA,NA,New Zealand,SciWri17,SCIWRI_butnot_DRYAD
88,JANE,2009,Dan,NA,Tomkins,893,NA,NA,NA,NA,New Zealand,SciWri17,SCIWRI_butnot_DRYAD
89,JANE,2010,Dan,NA,Tomkins,893,NA,NA,NA,NA,New Zealand,SciWri17,SCIWRI_butnot_DRYAD
90,JANE,2011,Dan,NA,Tomkins,893,NA,NA,NA,NA,New Zealand,SciWri17,SCIWRI_butnot_DRYAD
91,JANE,2012,Kevin,NA,McCann,2047,NA,NA,NA,NA,Canada,SciWri17,SCIWRI_butnot_DRYAD
92,JANE,2012,Dan,NA,Tomkins,893,NA,NA,NA,NA,New Zealand,SciWri17,SCIWRI_butnot_DRYAD
93,JANE,2013,Andrew,NA,Beckerman,14,NA,NA,NA,NA,United Kingdom,SciWri17,SCIWRI_butnot_DRYAD
94,JANE,2013,Peter,NA,Bennett,2766,NA,NA,NA,NA,United Kingdom,SciWri17,SCIWRI_butnot_DRYAD
95,JANE,2013,Chris,NA,Thomas,577,NA,NA,NA,NA,United Kingdom,SciWri17,SCIWRI_butnot_DRYAD
96,JANE,2013,Dan,NA,Tomkins,893,NA,NA,NA,NA,New Zealand,SciWri17,SCIWRI_butnot_DRYAD
97,JANE,2013,Jon,NA,Wright,1965,NA,NA,NA,NA,Norway,SciWri17,SCIWRI_butnot_DRYAD
98,CONBIO,1989,Guillermo,W,Mann,1224,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
99,CONBIO,1990,Guillermo,W,Mann,1224,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
100,CONBIO,1993,James,NA,Karr,1660,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
101,CONBIO,1993,David,NA,Western,912,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
102,CONBIO,1994,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
103,CONBIO,1995,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
104,CONBIO,1996,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
105,CONBIO,1997,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
106,CONBIO,1997,Gary,K,Meffe,1229,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
107,CONBIO,1997,Dennis,NA,Murphy,796,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
108,CONBIO,1998,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
109,CONBIO,1998,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
110,CONBIO,1999,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
111,CONBIO,1999,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
112,CONBIO,2000,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
113,CONBIO,2000,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
114,CONBIO,2001,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
115,CONBIO,2001,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
116,CONBIO,2002,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
117,CONBIO,2002,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
118,CONBIO,2003,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
119,CONBIO,2004,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
120,CONBIO,2004,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
121,CONBIO,2005,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
122,CONBIO,2005,Reed,NA,Noss,3176,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
123,CONBIO,2006,Peter,NA,Daszak,2791,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
124,CONBIO,2006,David,NA,Ehrenfeld,680,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
125,CONBIO,2006,Michael,NA,Mascia,2465,NA,NA,NA,NA,USA,SciWri17,SCIWRI_butnot_DRYAD
