,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,NOTES
222,JAPE,2012,1290,Harald,NA,Bugmann,,,NA,missing,Switzerland,
223,JAPE,2013,1290,Harald,NA,Bugmann,,,NA,missing,Switzerland,
224,JAPE,2014,1290,Harald,NA,Bugmann,,,NA,missing,Switzerland,
225,JAPE,2015,1290,Harald,NA,Bugmann,,,NA,missing,Switzerland,
226,JAPE,1992,1316,Hugh,AP,Ingram,University of Dundee,Department of Biological Scences,NA,missing,United Kingdom,
227,JAPE,1993,1316,Hugh,AP,Ingram,,,NA,missing,United Kingdom,
228,JAPE,1994,1316,Hugh,AP,Ingram,,,NA,missing,United Kingdom,
229,JAPE,1995,1316,Hugh,AP,Ingram,,,NA,missing,United Kingdom,
230,JAPE,1996,1316,Hugh,AP,Ingram,,,NA,missing,United Kingdom,
231,JAPE,2013,1339,Hamish,NA,McCallum,Griffith University,NA,NA,missing,Australia,
232,JAPE,2014,1339,Hamish,NA,McCallum,,,NA,missing,Australia,
233,JAPE,2015,1339,Hamish,NA,McCallum,,,NA,missing,Australia,
234,JAPE,1989,1368,Henry,NA,Thomas,NA,NA,NA,missing,United Kingdom,
235,JAPE,1990,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
236,JAPE,1991,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
237,JAPE,1992,1368,Henry,NA,Thomas,,,Aberystwyth,missing,United Kingdom,
238,JAPE,1993,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
239,JAPE,1994,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
240,JAPE,1995,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
241,JAPE,1996,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
242,JAPE,1997,1368,Henry,NA,Thomas,,,NA,missing,United Kingdom,
243,JAPE,2014,1403,Ian,NA,Kaplan,Purdue University,NA,NA,missing,USA,
244,JAPE,2015,1403,Ian,NA,Kaplan,,,NA,missing,USA,
245,JAPE,1988,1420,Ian,F,Spellerberg,NA,NA,NA,missing,United Kingdom,
246,JAPE,1989,1420,Ian,F,Spellerberg,,,NA,missing,United Kingdom,
247,JAPE,1990,1420,Ian,F,Spellerberg,,,NA,missing,United Kingdom,
248,JAPE,1991,1420,Ian,F,Spellerberg,,,NA,missing,United Kingdom,
249,JAPE,1992,1420,Ian,F,Spellerberg,,,Southampton,missing,United Kingdom,
250,JAPE,1993,1420,Ian,F,Spellerberg,,,NA,missing,United Kingdom,
251,JAPE,1994,1420,Ian,F,Spellerberg,,,Canterbury,missing,New Zealand,
252,JAPE,1995,1420,Ian,F,Spellerberg,,,NA,missing,New Zealand,
253,JAPE,1996,1420,Ian,F,Spellerberg,,,NA,missing,New Zealand,
254,JAPE,2006,1421,Ingolf,NA,Steffan-Dewenter,NA,NA,Gottingen,missing,Germany,
255,JAPE,2007,1421,Ingolf,NA,Steffan-Dewenter,,,NA,missing,Germany,
256,JAPE,2008,1421,Ingolf,NA,Steffan-Dewenter,,,NA,missing,Germany,
257,JAPE,2009,1421,Ingolf,NA,Steffan-Dewenter,,,Bayreuth,missing,Germany,
258,JAPE,2010,1421,Ingolf,NA,Steffan-Dewenter,University of Bayreuth,NA,NA,missing,Germany,
259,JAPE,2011,1421,Ingolf,NA,Steffan-Dewenter,,,NA,missing,Germany,
260,JAPE,2012,1421,Ingolf,NA,Steffan-Dewenter,,,NA,missing,Germany,
261,JAPE,2013,1421,Ingolf,NA,Steffan-Dewenter,University of Wurzburg,NA,NA,missing,Germany,
262,JAPE,2014,1421,Ingolf,NA,Steffan-Dewenter,,,NA,missing,Germany,
263,JAPE,2008,1452,Jos,NA,Barlow,NA,NA,Lancaster,missing,United Kingdom,
264,JAPE,2009,1452,Jos,NA,Barlow,,,NA,missing,United Kingdom,
265,JAPE,2010,1452,Jos,NA,Barlow,,,NA,missing,,
266,JAPE,2011,1452,Jos,NA,Barlow,,,NA,missing,United Kingdom,
267,JAPE,2012,1452,Jos,NA,Barlow,,,NA,missing,United Kingdom,
268,JAPE,2013,1452,Jos,NA,Barlow,,,NA,missing,United Kingdom,
269,JAPE,2014,1452,Jos,NA,Barlow,,,NA,missing,United Kingdom,
270,JAPE,2015,1452,Jos,NA,Barlow,,,NA,missing,United Kingdom,
271,JAPE,2013,1470,Julia,NA,Blanchard,NA,NA,NA,missing,,
272,JAPE,2014,1470,Julia,NA,Blanchard,,,NA,missing,United Kingdom,
273,JAPE,2015,1470,Julia,NA,Blanchard,,,NA,missing,United Kingdom,
274,JAPE,2000,1490,James,M,Bullock,NA,NA,Furzebrook,missing,United Kingdom,
275,JAPE,2001,1490,James,M,Bullock,,,NA,missing,United Kingdom,
276,JAPE,2002,1490,James,M,Bullock,,,NA,missing,United Kingdom,
277,JAPE,2003,1490,James,M,Bullock,,,NA,missing,United Kingdom,
278,JAPE,2007,1494,Javier,NA,Bustamante,NA,NA,Seville,missing,Spain,
279,JAPE,2008,1494,Javier,NA,Bustamante,,,NA,missing,Spain,
280,JAPE,2009,1494,Javier,NA,Bustamante,,,NA,missing,Spain,
281,JAPE,1985,1521,J,P,Cooper,NA,NA,NA,missing,United Kingdom,
282,JAPE,1986,1521,J,P,Cooper,,,NA,missing,United Kingdom,
283,JAPE,1987,1521,J,P,Cooper,,,NA,missing,United Kingdom,
284,JAPE,2006,1522,Joan,NA,Cossentine,NA,NA,Summerland,missing,Canada,
285,JAPE,2007,1522,Joan,NA,Cossentine,,,NA,missing,Canada,
286,JAPE,2008,1522,Joan,NA,Cossentine,,,NA,missing,,
287,JAPE,2009,1522,Joan,NA,Cossentine,,,NA,missing,Canada,
288,JAPE,2010,1522,Joan,NA,Cossentine,Pacific Agri Food Research Centre,NA,NA,missing,Canada,
289,JAPE,2011,1522,Joan,NA,Cossentine,,,NA,missing,Canada,
290,JAPE,2012,1522,Joan,NA,Cossentine,,,NA,missing,Canada,
291,JAPE,1985,1531,John,Patrick,Croxall,NA,NA,NA,missing,United Kingdom,
292,JAPE,1986,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
293,JAPE,1987,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
294,JAPE,1988,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
295,JAPE,1989,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
296,JAPE,1990,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
297,JAPE,1991,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
298,JAPE,1992,1531,John,Patrick,Croxall,,,Cambridge,missing,United Kingdom,
299,JAPE,1993,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
300,JAPE,1994,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
301,JAPE,1995,1531,John,Patrick,Croxall,,,NA,missing,United Kingdom,
302,JAPE,2014,1572,John,NA,Finn,Teagasc,NA,NA,missing,Ireland,
303,JAPE,2015,1572,John,NA,Finn,,,NA,missing,Ireland,
304,JAPE,2010,1573,Jennifer,NA,Firn,CISRO Sustainable Ecosystems,NA,NA,missing,Australia,
305,JAPE,2011,1573,Jennifer,NA,Firn,,,NA,missing,Australia,
306,JAPE,2012,1573,Jennifer,NA,Firn,,,NA,missing,Australia,
307,JAPE,2013,1573,Jennifer,NA,Firn,,,NA,missing,Australia,
308,JAPE,2014,1573,Jennifer,NA,Firn,,,NA,missing,Australia,
309,JAPE,2015,1573,Jennifer,NA,Firn,,,NA,missing,Australia,
310,JAPE,2013,1578,Jacqui,NA,Frair,University of New York,NA,NA,missing,USA,
311,JAPE,2014,1578,Jacqui,NA,Frair,,,NA,missing,USA,
312,JAPE,2015,1578,Jacqui,NA,Frair,,,NA,missing,USA,
313,JAPE,2005,1597,Jennifer,NA,Gill,NA,NA,Norwich,missing,United Kingdom,
314,JAPE,2006,1597,Jennifer,NA,Gill,,,NA,missing,United Kingdom,
315,JAPE,2007,1597,Jennifer,NA,Gill,,,NA,missing,United Kingdom,
316,JAPE,2008,1597,Jennifer,NA,Gill,,,NA,missing,United Kingdom,
317,JAPE,2009,1597,Jennifer,NA,Gill,,,NA,missing,United Kingdom,
318,JAPE,2010,1597,Jennifer,NA,Gill,,,NA,missing,,
319,JAPE,2011,1597,Jennifer,NA,Gill,,,NA,missing,United Kingdom,
320,JAPE,2012,1597,Jennifer,NA,Gill,,,NA,missing,United Kingdom,
321,JAPE,2008,1659,Julia,NA,Jones,NA,NA,Bangor,missing,United Kingdom,
322,JAPE,2009,1659,Julia,NA,Jones,,,NA,missing,United Kingdom,
