"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","NOTES","X"
"151","JECOL",1994,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"152","JECOL",1995,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"153","JECOL",1996,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"154","JECOL",1997,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"155","JECOL",1998,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"156","JECOL",1999,"2419","Michael","J","Hutchings",NA,NA,"Brighton",NA,"United Kingdom",NA,NA
"157","ECOLOGY",1989,"1210","George","L","Jacobson","University of Maine",NA,"Orono","ME","USA",NA,NA
"158","JECOL",1991,"1210","George","L","Jacobson",NA,NA,NA,NA,"USA",NA,NA
"159","JECOL",1992,"1210","George","L","Jacobson",NA,NA,"Orono",NA,"USA",NA,NA
"160","PLANTECOL",1991,"3108","Robert","L","Jefferies","","","Toronto",NA,"",NA,""
"161","JECOL",1988,"3108","Robert","L","Jefferies",NA,NA,NA,NA,"Canada",NA,NA
"162","JECOL",1989,"3108","Robert","L","Jefferies",NA,NA,NA,NA,"Canada",NA,NA
"163","JECOL",1990,"3108","Robert","L","Jefferies",NA,NA,NA,NA,"Canada",NA,NA
"164","JECOL",1991,"3108","Robert","L","Jefferies",NA,NA,NA,NA,"Canada",NA,NA
"165","JECOL",1992,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"166","JECOL",1993,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"167","JECOL",1994,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"168","JECOL",1995,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"169","JECOL",1996,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"170","JECOL",1997,"3108","Robert","L","Jefferies",NA,NA,NA,NA,"Canada",NA,NA
"171","JECOL",1998,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"172","JECOL",1999,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"173","JECOL",2000,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"174","JECOL",2001,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"175","JECOL",2002,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"176","JECOL",2003,"3108","Robert","L","Jefferies",NA,NA,"Brighton",NA,"Canada",NA,NA
"177","JECOL",2004,"3108","Robert","L","Jefferies",NA,NA,"Toronto",NA,"Canada",NA,NA
"178","EVOL",2003,"3374","Susan",NA,"Kalisz","University of Pittsburgh",NA,"Pittsburgh","PA","USA",NA,NA
"179","JECOL",1995,"3374","Susan",NA,"Kalisz",NA,NA,"Hickory Coners",NA,"USA",NA,NA
"180","JECOL",1996,"3374","Susan",NA,"Kalisz",NA,NA,"Pittsburgh",NA,"USA",NA,NA
"181","JECOL",1997,"3374","Susan",NA,"Kalisz",NA,NA,"Pittsburgh",NA,"USA",NA,NA
"182","JECOL",1998,"3374","Susan",NA,"Kalisz",NA,NA,"Pittsburgh",NA,"USA",NA,NA
"183","JECOL",1999,"3374","Susan",NA,"Kalisz",NA,NA,"Pittsburg",NA,"USA",NA,NA
"184","JECOL",2000,"3374","Susan",NA,"Kalisz",NA,NA,"Pittsburg",NA,"USA",NA,NA
"185","JECOL",2005,"2849","Peter",NA,"Klinkhamer","Leiden University",NA,NA,NA,"Netherlands",NA,NA
"186","JECOL",1997,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"187","JECOL",1998,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"188","JECOL",1999,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"189","JECOL",2000,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"190","JECOL",2001,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"191","JECOL",2002,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"192","JECOL",2003,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"193","JECOL",2004,"2849","Peter",NA,"Klinkhamer",NA,NA,"Leiden",NA,"Netherlands",NA,NA
"194","JECOL",1987,"130","Alan","J","Lack",NA,NA,NA,NA,"United Kingdom",NA,NA
"195","JECOL",1988,"130","Alan","J","Lack",NA,NA,NA,NA,"United Kingdom",NA,NA
"196","JECOL",1989,"130","Alan","J","Lack",NA,NA,NA,NA,"United Kingdom",NA,NA
"197","JECOL",1990,"130","Alan","J","Lack",NA,NA,NA,NA,"United Kingdom",NA,NA
"198","JECOL",1991,"3851","Andrew","J","Lack",NA,NA,NA,NA,"United Kingdom",NA,NA
"199","JECOL",1992,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"200","JECOL",1993,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"201","JECOL",1994,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"202","JECOL",1995,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"203","JECOL",1996,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"204","JECOL",1997,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"205","JECOL",1998,"3851","Andrew","J","Lack",NA,NA,"Oxford",NA,"United Kingdom",NA,NA
"206","PLANTECOL",1991,"3762","William","K","Lauenroth","Colorado State University","Range Science","Fort Collins","Colorado","USA",NA,NA
"207","JECOL",2000,"3762","William","K","Lauenroth",NA,NA,"Fort Collins",NA,"USA",NA,NA
"208","JECOL",2001,"3762","William","K","Lauenroth",NA,NA,"Fort Collins",NA,"USA",NA,NA
"209","JECOL",2002,"3762","William","K","Lauenroth",NA,NA,"Fort Collins",NA,"USA",NA,NA
"210","JECOL",2003,"3762","William","K","Lauenroth",NA,NA,"Fort Collins",NA,"USA",NA,NA
"211","JECOL",2004,"3762","William","K","Lauenroth",NA,NA,"Fort Collins",NA,"USA",NA,NA
"212","LECO",1999,"3385","Sandra",NA,"Lavorel","CNRS Centre dEcologie Fonctionnelle et Evolutive","",NA,NA,"France",NA,NA
"213","JECOL",2014,"3385","Sandra",NA,"Lavorel","Universite Joseph Fourier",NA,NA,NA,"France",NA,NA
"214","JECOL",1997,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"215","JECOL",1998,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"216","JECOL",1999,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"217","JECOL",2000,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"218","JECOL",2001,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"219","JECOL",2002,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"220","JECOL",2003,"3385","Sandra",NA,"Lavorel",NA,NA,"Montpellier",NA,"France",NA,NA
"221","PLANTECOL",1996,"1704","John","A","Lee","","","Sheffield",NA,"",NA,""
"222","JECOL",2009,"1704","John","A","Lee","University Sheffield",NA,NA,NA,"United Kingdom",NA,NA
"223","JECOL",1985,"1704","John","A","Lee",NA,NA,NA,NA,"United Kingdom",NA,NA
"224","JECOL",1986,"1704","John",NA,"Lee",NA,NA,NA,NA,"United Kingdom",NA,NA
"225","JECOL",1987,"1704","John",NA,"Lee",NA,NA,NA,NA,"United Kingdom",NA,NA
"226","JECOL",1988,"1704","John",NA,"Lee",NA,NA,NA,NA,"United Kingdom",NA,NA
"227","JECOL",1989,"1704","John",NA,"Lee",NA,NA,NA,NA,"United Kingdom",NA,NA
"228","JECOL",1990,"1704","John",NA,"Lee",NA,NA,NA,NA,"United Kingdom",NA,NA
"229","JECOL",1992,"1704","John","A","Lee",NA,NA,"Manchester",NA,"United Kingdom",NA,NA
"230","JECOL",1993,"1704","John","A","Lee",NA,NA,"Manchester",NA,"United Kingdom",NA,NA
"231","JECOL",1994,"1704","John","A","Lee",NA,NA,"Manchester",NA,"United Kingdom",NA,NA
"232","JECOL",1995,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"233","JECOL",1996,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"234","JECOL",1997,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"235","JECOL",1998,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"236","JECOL",1999,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"237","JECOL",2000,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"238","JECOL",2001,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"239","JECOL",2002,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"240","JECOL",2003,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"241","JECOL",2004,"1704","John","A","Lee",NA,NA,"Sheffield",NA,"United Kingdom",NA,NA
"242","JECOL",1986,"3395","Stephen","P","Long",NA,NA,NA,NA,"USA",NA,NA
"243","JECOL",1987,"3395","Stephen","P","Long",NA,NA,NA,NA,"USA",NA,NA
"244","JECOL",1988,"3395","Stephen","P","Long",NA,NA,NA,NA,"USA",NA,NA
"245","JECOL",1989,"3395","Stephen","P","Long",NA,NA,NA,NA,"USA",NA,NA
"246","JECOL",1990,"3395","Stephen","P","Long",NA,NA,NA,NA,"USA",NA,NA
"247","JECOL",2005,"2869","Peter","D","Moore","Kings College London","","London",NA,"United Kingdom",NA,NA
"248","JECOL",1991,"2869","Peter","D","Moore",NA,NA,NA,NA,"United Kingdom",NA,NA
"249","JECOL",1994,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"250","JECOL",1995,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"251","JECOL",1996,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"252","JECOL",1997,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"253","JECOL",1998,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"254","JECOL",1999,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"255","JECOL",2000,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"256","JECOL",2001,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
"257","JECOL",2002,"2869","Peter","D","Moore",NA,NA,"London",NA,"United Kingdom",NA,NA
