JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,COUNTRY,,,,,,,,,,,
AREES,2014,3360,sarah,e,hobbie,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3360," & JOURNAL==""",OIKOS,""" & YEAR==",2014,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==3360 & JOURNAL==""OIKOS"" & YEAR==2014]<-""university of minnesota twin cities"""
AUK,2013,NA,w,todd,arnold,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$LAST_NAME==,"arnold"""," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$LAST_NAME==arnold"" & JOURNAL==""OIKOS"" & YEAR==2013]<-""university of minnesota twin cities"""
BITR,2013,1817,jennifer,NA,powers,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1817," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==1817 & JOURNAL==""OIKOS"" & YEAR==2013]<-""university of minnesota twin cities"""
ECOLOGY,2013,48,anthony,w,d'amato,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,48," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==48 & JOURNAL==""OIKOS"" & YEAR==2013]<-""university of minnesota twin cities"""
ECOLOGY,2010,936,elizabeth,t,borer,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,936," & JOURNAL==""",OIKOS,""" & YEAR==",2010,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==936 & JOURNAL==""OIKOS"" & YEAR==2010]<-""university of minnesota twin cities"""
ECOLOGY,2010,1506,jeannine,m,cavender-bares,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1506," & JOURNAL==""",OIKOS,""" & YEAR==",2010,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==1506 & JOURNAL==""OIKOS"" & YEAR==2010]<-""university of minnesota twin cities"""
EVOL,2015,52,antony,NA,dean,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,52," & JOURNAL==""",OIKOS,""" & YEAR==",2015,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==52 & JOURNAL==""OIKOS"" & YEAR==2015]<-""university of minnesota twin cities"""
EVOL,2015,792,david,a,moeller,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,792," & JOURNAL==""",OIKOS,""" & YEAR==",2015,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==792 & JOURNAL==""OIKOS"" & YEAR==2015]<-""university of minnesota twin cities"""
LANDSCAPEECO,1993,1781,j,NA,nassauer,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1781," & JOURNAL==""",OIKOS,""" & YEAR==",1993,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==1781 & JOURNAL==""OIKOS"" & YEAR==1993]<-""university of minnesota twin cities"""
OECOL,2013,1200,george,NA,heimpel,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1200," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==1200 & JOURNAL==""OIKOS"" & YEAR==2013]<-""university of minnesota twin cities"""
OECOL,1991,2872,patrice,a,morrow,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2872," & JOURNAL==""",OIKOS,""" & YEAR==",1991,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==2872 & JOURNAL==""OIKOS"" & YEAR==1991]<-""university of minnesota twin cities"""
OECOL,2007,2905,peter,b,reich,university of minnesota twin cities,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2905," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",university of minnesota twin cities,"""","DATAFILE$INST[DATAFILE$editor_id==2905 & JOURNAL==""OIKOS"" & YEAR==2007]<-""university of minnesota twin cities"""
