JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,INST.CORRECTED,,,,
BIOCON,1998,1244,George,F,Peterken,NA,,unaffiliated,,,,
BIOCON,2009,1244,George,F,Peterken,NA,,unaffiliated,,,,
BIOCON,1990,2473,Martin,K,Mcnicholl,NA,,unaffiliated,,,,
BIOCON,1993,2473,Martin,K,Mcnicholl,NA,,unaffiliated,,,,
BIOCON,1986,2914,Peter,NA,Scott,NA,,unaffiliated,,,,
BIOCON,1985,3705,V,NA,Westhoff,NA,,unaffiliated,,,,
BIOCON,1988,3705,V,NA,Westhoff,NA,,unaffiliated,,,,
BITR,1993,3711,Woodruff,NA,Benson,NA,,UNICAMP,,,,
BITR,1996,3711,Woodruff,NA,Benson,NA,,UNICAMP,,,,
JBIOG,2013,164,Aristeidis,NA,Parmakelis,NA,,Univ Athens,,,,
JBIOG,2014,164,Aristeidis,NA,Parmakelis,NA,,Univ Athens,,,,
OIKOS,2011,1474,Jaobus,NA,Boomsma,NA,,"Univ Copenhagen,",,,,
JBIOG,2013,1075,Francois,NA,Guilhaumon,NA,,Univ Evora,,,,
JBIOG,2012,1747,Judith,NA,Masters,NA,,Univ Ft Hare,,,,
JBIOG,2011,716,Dennis,NA,Hansen,NA,,Univ KwaZulu Natal,,,,
JBIOG,2011,1747,Judith,NA,Masters,NA,,Univ KwaZulu Natal,,,,
NEWPHYT,1990,1963,J,NA,Wolfenden,NA,,UNIV LANCASTER,,,,
NEWPHYT,1991,1963,J,NA,Wolfenden,NA,,UNIV LANCASTER,,,,
NEWPHYT,1996,1963,John,NA,Wolfenden,NA,,UNIV LANCASTER,,,,
JAPE,1985,1773,John,Lennox,Monteith,NA,,UNIV NOTTINGHAM,,,,
JAPE,1987,1773,John,Lennox,Monteith,NA,,UNIV NOTTINGHAM,,,,
OECOL,2011,534,Caroline,NA,Muller,NA,,Univ of Bielefeld,,,,
OECOL,2014,534,Caroline,NA,Muller,NA,,Univ of Bielefeld,,,,
OECOL,1998,1261,Glenn,NA,Stewart,NA,,Univ Queensland,,,,
NEWPHYT,1985,2932,P,J,Syrett,NA,,UNIV WALES,,,,
NEWPHYT,1989,2932,P,J,Syrett,NA,,UNIV WALES,,,,
JBIOG,2005,1547,Jose,Alexandre,Diniz-Filho,NA,,Universidade Federal de Goias,,,,
JBIOG,2006,1547,Jose,Alexandre,Diniz-Filho,NA,,Universidade Federal de Goias,,,,
JBIOG,2014,1075,Francois,NA,Guilhaumon,NA,,Universite de Montpellier,,,,
OECOL,2013,172,Andreas,NA,Prinzing,NA,,Universite de Rennes 1,,,,
EVOL,2015,851,Daniel,NA,Rozen,NA,,Universiteit Leiden,,,,
OECOL,2014,3587,Toni,NA,Laaksonen,NA,,Universities of Turku ,,,,
JECOL,1986,3911,James,NA,White,NA,,University College Dublin,,,,
PLANTECOL,1985,3911,James,NA,White,NA,,University College Dublin,,,,
PLANTECOL,1989,3911,James,NA,White,NA,,University College Dublin,,,,
JBIOG,1985,475,Carolyn,NA,Harrison,NA,,University college london,,,,
JBIOG,2004,475,Carolyn,NA,Harrison,NA,,University college london,,,,
