journal,year,editor_id,first_name,middle_name,last_name,inst,notes
najfm,1998,1752,john,d,mcintyre,NA,na / na
najfm,1997,3602,thomas,e,mcmahon,NA,na / na
najfm,1998,3602,thomas,e,mcmahon,NA,na / na
najfm,1992,324,bernard,NA,megrey,NA,na / na
najfm,1993,324,bernard,NA,megrey,NA,na / na
najfm,1990,1760,john,v,merriner,NA,na / na
najfm,1991,1760,john,v,merriner,NA,na / na
najfm,1998,2866,paul,h,michaletz,NA,na / na
najfm,2002,2866,paul,h,michaletz,NA,na / na
najfm,1995,1771,jeffrey,g,miner,NA,na / na
najfm,1996,1771,jeffrey,g,miner,NA,na / na
najfm,1990,2208,l,esteban,miranda,NA,na / na
najfm,1996,2208,l,esteban,miranda,NA,na / na
najfm,2011,2480,matthew,g,mitro,NA,na / na
najfm,2013,2480,matthew,g,mitro,NA,na / na
najfm,1988,2209,larry,r,mitzner,NA,na / na
najfm,1989,2209,larry,r,mitzner,NA,na / na
najfm,1985,3606,timothy,c,modde,NA,na / na
najfm,2002,3606,timothy,c,modde,NA,na / na
najfm,1992,532,christine,m,moffitt,NA,na / na
najfm,1993,532,christine,m,moffitt,NA,na / na
najfm,2005,2870,paul,NA,moran,NA,na / na
najfm,2006,2870,paul,NA,moran,NA,na / na
najfm,1998,3163,raymond,p,morgan,NA,na / na
najfm,2001,3163,raymond,p,morgan,NA,na / na
najfm,1994,1235,gordon,NA,mueller,NA,na / na
najfm,1996,1235,gordon,NA,mueller,NA,na / na
najfm,1991,3166,robert,m,muth,NA,na / na
najfm,1992,3166,robert,m,muth,NA,na / na
najfm,2008,3168,randy,NA,myers,NA,na / na
najfm,2009,3168,randy,NA,myers,NA,na / na
najfm,2012,331,ben,c,neely,NA,na / na
najfm,2013,331,ben,c,neely,NA,na / na
najfm,1985,3414,stephen,j,nepszy,NA,na / na
najfm,1986,3414,stephen,j,nepszy,NA,na / na
najfm,1990,3613,thomas,p,nesler,NA,na / na
najfm,1991,3613,thomas,p,nesler,NA,na / na
najfm,2001,2061,keith,h,nislow,NA,na / na
najfm,2002,2061,keith,h,nislow,NA,na / na
najfm,1990,810,donald,j,orth,NA,na / na
najfm,1991,810,donald,j,orth,NA,na / na
najfm,2011,2065,kevin,NA,page,NA,na / na
najfm,2014,2065,kevin,NA,page,NA,na / na
najfm,1986,3693,vaughn,l,paragamian,NA,na / na
najfm,1987,3693,vaughn,l,paragamian,NA,na / na
najfm,2001,338,bradford,g,parsons,NA,na / na
najfm,2004,338,bradford,g,parsons,NA,na / na
najfm,1981,2506,mercer,h,patriarche,NA,na / na
najfm,1986,2506,mercer,h,patriarche,NA,na / na
najfm,2004,547,craig,NA,paukert,NA,na / na
najfm,2011,547,craig,NA,paukert,NA,na / na
najfm,1992,1804,john,b,pearce,NA,na / na
najfm,1993,1804,john,b,pearce,NA,na / na
najfm,2006,812,devon,e,pearse,NA,na / na
najfm,2008,812,devon,e,pearse,NA,na / na
najfm,1995,1805,james,w,peck,NA,na / na
najfm,1996,1805,james,w,peck,NA,na / na
najfm,1997,818,david,s,peters,NA,na / na
najfm,1998,818,david,s,peters,NA,na / na
najfm,2004,819,douglas,l,peterson,NA,na / na
najfm,2006,819,douglas,l,peterson,NA,na / na
najfm,1983,3780,william,a,pierce,NA,na / na
najfm,1984,3780,william,a,pierce,NA,na / na
najfm,1990,1015,ellen,k,pikitch,NA,na / na
najfm,1991,1015,ellen,k,pikitch,NA,na / na
najfm,1983,1016,e,p,pister,NA,na / na
najfm,1984,1016,e,p,pister,NA,na / na
najfm,1998,1812,john,m,pitlo,NA,na / na
najfm,2000,1812,john,m,pitlo,NA,na / na
najfm,1993,3623,thomas,h,poe,NA,na / na
najfm,1994,3623,thomas,h,poe,NA,na / na
najfm,1990,1814,jeffrey,j,polovina,NA,na / na
najfm,1991,1814,jeffrey,j,polovina,NA,na / na
najfm,2005,2519,michael,NA,porter,NA,na / na
