JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
FUNECOL,1992,6,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1993,7,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1994,8,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1995,9,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1996,10,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1997,11,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1998,12,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,1999,13,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,2000,14,1,editorial review board,Christian,,Korner,Christian Korner,Innsbruck,Austria,M,SE,
FUNECOL,2011,25,1,associate editor,Clare,,McArthur,Clare McArthur,Sydney,Australia,F,SE,
FUNECOL,2012,26,1,associate editor,Clare,,McArthur,Clare McArthur,Sydney,Australia,F,SE,
FUNECOL,2013,27,1,associate editor,Clare,,McArthur,Clare McArthur,Sydney,Australia,F,SE,
FUNECOL,2014,28,1,associate editor,Clare,,McArthur,Clare McArthur,Sydney,Australia,F,SE,
FUNECOL,2015,29,1,associate editor,Clare,,McArthur,Clare McArthur,Sydney,Australia,F,SE,
FUNECOL,2001,15,1,editorial review board,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2002,16,1,editorial review board,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2003,17,1,editorial review board,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2004,18,1,editorial review board,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2005,19,1,editorial review board,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2006,20,1,associate editor,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2007,21,2,associate editor,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2008,22,1,associate editor,Clive,Green,Jones,Clive Green Jones,Millbrook,USA,M,SE,
FUNECOL,2012,26,1,associate editor,Craig,,Franklin,Craig Franklin,Queensland,Australia,M,SE,
FUNECOL,2013,27,1,associate editor,Craig,,Franklin,Craig Franklin,Queensland,Australia,M,SE,
FUNECOL,2014,28,1,associate editor,Craig,,Franklin,Craig Franklin,Queensland,Australia,M,SE,
FUNECOL,2015,29,1,associate editor,Craig,,Franklin,Craig Franklin,Queensland,Australia,M,SE,
FUNECOL,2006,20,1,associate editor,Craig,W,Benkman,Craig W Benkman,Wyoming,USA,M,SE,
FUNECOL,2007,21,2,associate editor,Craig,W,Benkman,Craig W Benkman,Wyoming,USA,M,SE,
FUNECOL,2008,22,1,associate editor,Craig,W,Benkman,Craig W Benkman,Wyoming,USA,M,SE,
FUNECOL,2011,25,1,guest editor,Dana,M,Hawley,Dana M Hawley,Virginia Tech,USA,F,,???
FUNECOL,2012,26,1,associate editor,Dana,M,Hawley,Dana M Hawley,Virginia Tech,USA,F,SE,
FUNECOL,2013,27,1,associate editor,Dana,M,Hawley,Dana M Hawley,Virginia Tech,USA,F,SE,
FUNECOL,2014,28,1,associate editor,Dana,M,Hawley,Dana M Hawley,Virginia Tech,USA,F,SE,
FUNECOL,2015,29,1,associate editor,Dana,M,Hawley,Dana M Hawley,Virginia Tech,USA,F,SE,
FUNECOL,2011,25,1,guest editor,Daniel,,Ardia,Daniel Ardia,Franklin & Marshall,USA,M,,???
FUNECOL,2006,20,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2007,21,2,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2008,22,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2009,23,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2010,24,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2011,25,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2012,26,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2013,27,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2014,28,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2015,29,1,associate editor,Daniel,P,Costa,Daniel P Costa,Santa Cruz,USA,M,SE,
FUNECOL,2002,16,1,editorial review board,David,,Berrigan,David Berrigan,Bethesda,USA,M,SE,
FUNECOL,2003,17,1,editorial review board,David,,Berrigan,David Berrigan,Bethesda,USA,M,SE,
FUNECOL,2004,18,1,editorial review board,David,,Berrigan,David Berrigan,Bethesda,USA,M,SE,
FUNECOL,2005,19,1,editorial review board,David,,Berrigan,David Berrigan,Bethesda,USA,M,SE,
FUNECOL,2013,27,1,associate editor,David,,Gremillet,David Gremillet,Montpellier,France,M,SE,
FUNECOL,2014,28,1,associate editor,David,,Gremillet,David Gremillet,Montpellier,France,M,SE,
FUNECOL,2015,29,1,associate editor,David,,Gremillet,David Gremillet,Montpellier,France,M,SE,
FUNECOL,2004,18,1,editorial review board,David,,Griffiths,David Griffiths,Ulster,Northern Ireland,M,SE,
FUNECOL,2005,19,1,editorial review board,David,,Griffiths,David Griffiths,Ulster,Northern Ireland,M,SE,
FUNECOL,2015,29,1,associate editor,David,,Lusseau,David Lusseau,Aberdeen,Scotland,M,SE,
FUNECOL,2006,20,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
