JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,NOTES
BIOCON,1994,67,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,Universidad Politecnica de Madrid,missing,Madrid,missing,Spain,ESP,
BIOCON,1995,71,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,1996,75,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,1997,79,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,1998,83,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,1999,87,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,2000,92,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,2001,97,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,2002,103,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,2003,109,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,2004,115,1,462,C,,GOMEZ-CAMPO,C GOMEZ-CAMPO,EB,SE,,,,,Spain,ESP,
BIOCON,1998,83,1,471,Craig,,Guyer,Craig Guyer,EB,SE,,,,,USA,USA,Begins in 1999
BIOCON,1999,87,1,471,Craig,,Guyer,Craig Guyer,EB,SE,Auburn University,Zoology,Auburn,Alabama,USA,USA,
BIOCON,2000,92,1,471,Craig,,Guyer,Craig Guyer,EB,SE,,,,,USA,USA,
BIOCON,2001,97,1,471,Craig,,Guyer,Craig Guyer,EB,SE,,,,,USA,USA,
BIOCON,2002,103,1,471,Craig,,Guyer,Craig Guyer,EB,SE,,,,,USA,USA,
BIOCON,2003,109,1,471,Craig,,Guyer,Craig Guyer,EB,SE,,,,,USA,USA,
BIOCON,2004,115,1,471,Craig,,Guyer,Craig Guyer,EB,SE,,,,,USA,USA,
BIOCON,1994,67,1,489,C,,JERMY,C JERMY,EB,SE,Natural History Museum,missing,London,missing,USA,USA,
BIOCON,1995,71,1,489,C,,JERMY,C JERMY,EB,SE,,,,,USA,USA,
BIOCON,1996,75,1,489,C,,JERMY,C JERMY,EB,SE,,,,,USA,USA,
BIOCON,1997,79,1,489,C,,JERMY,C JERMY,EB,SE,,,,,USA,USA,
BIOCON,1998,83,1,489,C,,JERMY,C JERMY,EB,SE,,,,,USA,USA,
BIOCON,1999,87,1,489,C,,JERMY,C JERMY,EB,SE,,,,,USA,USA,
BIOCON,2000,92,1,489,C,,JERMY,C JERMY,EB,SE,,,Hereford,,USA,USA,
BIOCON,2001,97,1,489,C,,JERMY,C JERMY,EB,SE,,,,,USA,USA,
BIOCON,2002,103,1,489,C,,JERMY,C JERMY,EB,SE,,,,,UK,GBR,
BIOCON,2003,109,1,489,C,,JERMY,C JERMY,EB,SE,,,,,UK,GBR,
BIOCON,2004,115,1,489,C,,JERMY,C JERMY,EB,SE,,,,,UK,GBR,
BIOCON,1987,39,1,566,CM,,SCHONEWALD,CM SCHONEWALD,EB,SE,University of California,missing,missing,missing,USA,USA,
BIOCON,1988,43,1,566,CM,,SCHONEWALD,CM SCHONEWALD,EB,SE,,,,,USA,USA,This should occur in 1989
BIOCON,1989,47,1,566,CM,,SCHONEWALD,CM SCHONEWALD,AE,AE,University of California Davis,Institute of Ecology,Davis,California,USA,USA,
BIOCON,1990,51,1,566,CM,,SCHONEWALD,CM SCHONEWALD,AE,AE,,,,,USA,USA,
BIOCON,1991,55,1,566,CM,,SCHONEWALD,CM SCHONEWALD,AE,AE,,,,,USA,USA,
BIOCON,1992,59,1,566,CM,,SCHONEWALD,CM SCHONEWALD,AE,AE,,,,,USA,USA,
BIOCON,1993,64,1,566,CM,,SCHONEWALD,CM SCHONEWALD,SE,SE,,,,,USA,USA,
BIOCON,1994,67,1,566,CM,,SCHONEWALD,CM SCHONEWALD,SE,SE,University of California Davis,Division of Environmental Studies,Davis,California,USA,USA,
BIOCON,1995,71,1,566,CM,,SCHONEWALD,CM SCHONEWALD,SE,SE,,,,,USA,USA,
BIOCON,2012,145,1,567,Cagan,,Sekercioglu,Cagan Sekercioglu,SE,SE,University of Utah,missing,Salt Lake City,Utah,USA,USA,
BIOCON,2013,157,1,567,Cagan,,Sekercioglu,Cagan Sekercioglu,SE,SE,,,,,USA,USA,
BIOCON,2014,169,NA,567,Cagan,H,Sekercioglu,Cagan H Sekercioglu,EB,SE,,,,,USA,USA,
BIOCON,1985,31,1,753,DJ,,KUENEN,DJ KUENEN,EB,SE,missing,missing,Leiden,missing,Netherlands,NLD,
BIOCON,1986,35,1,753,DJ,,KUENEN,DJ KUENEN,EB,SE,,,,,Netherlands,NLD,
BIOCON,2006,133,1,765,David,B,Lindenmayer,David B Lindenmayer,EB,SE,Australian National University,missing,Canberra,missing,Australia,AUS,Started in 2005
BIOCON,2007,140,1,765,David,B,Lindenmayer,David B Lindenmayer,EB,SE,,,,,Australia,AUS,
BIOCON,2008,141,1,765,David,B,Lindenmayer,David B Lindenmayer,SE,SE,,,,,Australia,AUS,
BIOCON,2009,142,1,765,David,B,Lindenmayer,David B Lindenmayer,SE,SE,,,,,Australia,AUS,
BIOCON,2010,143,1,765,David,B,Lindenmayer,David B Lindenmayer,SE,SE,,,,,Australia,AUS,
BIOCON,2011,144,1,765,David,B,Lindenmayer,David B Lindenmayer,SE,SE,,,,,Australia,AUS,
BIOCON,2012,145,1,765,David,B,Lindenmayer,David B Lindenmayer,SE,SE,,,,,Australia,AUS,
BIOCON,2013,157,1,765,David,B,Lindenmayer,David B Lindenmayer,SE,SE,,,,,Australia,AUS,
BIOCON,2014,169,NA,765,David,B,Lindenmayer,David B Lindenmayer,EB,SE,,,,,Australia,AUS,
BIOCON,1991,55,1,793,DJ,,MORAFKA,DJ MORAFKA,EB,SE,California State University Dominguez Hills,missing,Carson,California,USA,USA,
BIOCON,1992,59,1,793,DJ,,MORAFKA,DJ MORAFKA,EB,SE,,,,,USA,USA,
BIOCON,2011,144,1,808,Daniel,,Oro,Daniel Oro,AE,AE,IMEDEA,missing,Esporles,missing,Spain,ESP,
BIOCON,2012,145,1,808,Daniel,,Oro,Daniel Oro,AE,AE,,,,,Spain,ESP,
BIOCON,2013,157,1,808,Daniel,,Oro,Daniel Oro,AE,AE,,,,,Spain,ESP,
BIOCON,2003,109,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,CSIRO Sustainable Ecosystems,missing,Canberra,missing,Australia,AUS,
BIOCON,2004,115,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2005,121,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2005,123,4,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2006,133,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2007,140,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2008,141,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2009,142,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2010,143,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2011,144,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2012,145,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2013,157,1,856,Denis,A,Saunders,Denis A Saunders,SE,SE,,,,,Australia,AUS,
BIOCON,2014,169,NA,856,Denis,A,Saunders,Denis A Saunders,EB,SE,,,,,Australia,AUS,
BIOCON,1985,31,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,Monks Wood Experiment Station,missing,Huntingdon,missing,UK,GBR,
BIOCON,1986,35,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1987,39,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1988,43,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1989,47,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,double-check,missing,Peterborough,missing,UK,GBR,
BIOCON,1990,51,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1991,55,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1992,59,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1993,64,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1994,67,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1995,71,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1996,75,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1997,79,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1998,83,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1999,87,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,double-check,missing,Bussiere Poitevine,missing,France,FRA,
BIOCON,2000,92,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2001,97,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2002,103,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,UK,GBR,
BIOCON,2003,109,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,UK,GBR,
BIOCON,2004,115,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2005,121,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2006,133,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2007,140,1,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2008,141,1,958,Eric,,Duffey,Eric Duffey,SE,SE,,,,,France,FRA,
BIOCON,2009,142,1,958,Eric,,Duffey,Eric Duffey,SE,SE,,,,,France,FRA,
BIOCON,2010,143,1,958,Eric,,Duffey,Eric Duffey,SE,SE,,,,,France,FRA,
BIOCON,2011,144,1,958,Eric,,Duffey,Eric Duffey,SE,SE,,,,,France,FRA,
BIOCON,2012,145,1,958,Eric,,Duffey,Eric Duffey,SE,SE,,,,,France,FRA,
BIOCON,2013,157,1,958,Eric,,Duffey,Eric Duffey,SE,SE,,,,,France,FRA,
BIOCON,2014,169,NA,958,Eric,,Duffey,Eric Duffey,EB,SE,,,,,France,FRA,
BIOCON,2013,157,1,1000,Eve,,McDonald-Madden,Eve McDonald-Madden,SE,SE,University of Queensland,missing,St Lucia,Queensland,Australia,AUS,
BIOCON,2014,169,NA,1000,Eve,,McDonald-Madden,Eve McDonald-Madden,EB,SE,,,,,Australia,AUS,
