no,JOURNAL,YEAR,Volume,Issue,Title,FIRST_NAME,MIDDLE NAME,LAST_NAME,NAME,INST,UNIT,CITY,STATE,COUNTRY
430,MARECOL,1993,14,1,Editorial Board,,,,P. G. Moore,,,,,
429,MARECOL,1993,14,1,Editorial Board,,,,D. Marino,,,,,
428,MARECOL,1993,14,1,Editorial Board,,,,A. Logan,University of New Brunswick,,,"New Brunswick, Canada",
427,MARECOL,1993,14,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
426,MARECOL,1993,14,1,Editorial Board,,,,A. Ianora,,,,,
425,MARECOL,1993,14,1,Editorial Board,,,,H. Fricke,,,,,
424,MARECOL,1993,14,1,Editorial Board,,,,H. Felbeck,,,,,
423,MARECOL,1993,14,1,Editorial Board,,,,M. Estrada,,,,,
422,MARECOL,1993,14,1,Editorial Board,,,,R. Elmgren,,,,,
421,MARECOL,1993,14,1,Editorial Board,,,,A. Eleftheriou,,,,,
420,MARECOL,1993,14,1,Editorial Board,,,,G. C. Carrada,,,,,
419,MARECOL,1993,14,1,Editorial Board,,,,C. F. Boudouresque,,,,,
418,MARECOL,1993,14,1,Editorial Board,,,,A. Benovic,,,,,
417,MARECOL,1993,14,1,Assistant Editor,,,,L. Mazzella,,,,,
416,MARECOL,1993,14,1,Editors in Chief,,,,R. Riedl,,,,,
415,MARECOL,1993,14,1,Editors in Chief,,,,J. Ott,,,,,
414,MARECOL,1994,15,1,Editorial Board,,,,A. Zhirmunsky,,,,,
413,MARECOL,1994,15,1,Editorial Board,,,,C. Tomas,,,,,
412,MARECOL,1994,15,1,Editorial Board,,,,M. Sara,,,,,
411,MARECOL,1994,15,1,Editorial Board,,,,K. Rutzler,,,,,
410,MARECOL,1994,15,1,Editorial Board,,,,F. D. Por,,,,,
409,MARECOL,1994,15,1,Editorial Board,,,,P. G. Moore,,,,,
408,MARECOL,1994,15,1,Editorial Board,,,,D. Marino,,,,,
407,MARECOL,1994,15,1,Editorial Board,,,,A. Logan,,,,,
406,MARECOL,1994,15,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
405,MARECOL,1994,15,1,Editorial Board,,,,A. Ianora,,,,,
404,MARECOL,1994,15,1,Editorial Board,,,,H. Fricke,,,,,
403,MARECOL,1994,15,1,Editorial Board,,,,H. Felbeck,,,,,
402,MARECOL,1994,15,1,Editorial Board,,,,M. Estrada,,,,,
401,MARECOL,1994,15,1,Editorial Board,,,,R. Elmgren,,,,,
400,MARECOL,1994,15,1,Editorial Board,,,,A. Eleftheriou,,,,,
399,MARECOL,1994,15,1,Editorial Board,,,,W. C. Dullo,Christian- Albrechts-Universitat zu Kiel,,,Kiel,Germany
398,MARECOL,1994,15,1,Editorial Board,,,,G. C. Carrada,,,,,
397,MARECOL,1994,15,1,Editorial Board,,,,C. F. Boudouresque,,,,,
396,MARECOL,1994,15,1,Editorial Board,,,,A. Benovic,,,,,
395,MARECOL,1994,15,1,Assistant Editor,,,,L. Mazzella,,,,,
394,MARECOL,1994,15,1,Editors in Chief,,,,R. Riedl,,,,,
393,MARECOL,1994,15,1,Editors in Chief,,,,J. Ott,,,,,
392,MARECOL,1995,16,1,Editorial Board,,,,A. Zhirmunsky,,,,,
391,MARECOL,1995,16,1,Editorial Board,,,,C. Tomas,,,,,
390,MARECOL,1995,16,1,Editorial Board,,,,M. Sara,,,,,
389,MARECOL,1995,16,1,Editorial Board,,,,K. Rutzler,,,,,
388,MARECOL,1995,16,1,Editorial Board,,,,F. D. Por,,,,,
387,MARECOL,1995,16,1,Editorial Board,,,,P. G. Moore,,,,,
386,MARECOL,1995,16,1,Editorial Board,,,,D. Marino,,,,,
385,MARECOL,1995,16,1,Editorial Board,,,,A. Logan,,,,,
384,MARECOL,1995,16,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
383,MARECOL,1995,16,1,Editorial Board,,,,A. Ianora,,,,,
382,MARECOL,1995,16,1,Editorial Board,,,,H. Fricke,,,,,
381,MARECOL,1995,16,1,Editorial Board,,,,H. Felbeck,,,,,
380,MARECOL,1995,16,1,Editorial Board,,,,M. Estrada,,,,,
379,MARECOL,1995,16,1,Editorial Board,,,,R. Elmgren,,,,,
378,MARECOL,1995,16,1,Editorial Board,,,,A. Eleftheriou,,,,,
377,MARECOL,1995,16,1,Editorial Board,,,,W. C. Dullo,,,,,
376,MARECOL,1995,16,1,Editorial Board,,,,G. C. Carrada,,,,,
375,MARECOL,1995,16,1,Editorial Board,,,,C. F. Boudouresque,,,,,
374,MARECOL,1995,16,1,Editorial Board,,,,A. Benovic,,,,,
373,MARECOL,1995,16,1,Assistant Editor,,,,L. Mazzella,,,,,
372,MARECOL,1995,16,1,Editors in Chief,,,,R. Riedl,,,,,
371,MARECOL,1995,16,1,Editors in Chief,,,,J. Ott,,,,,
370,MARECOL,1996,17,1,Editorial Board,,,,A. Zhirmunsky,,,,,
369,MARECOL,1996,17,1,Editorial Board,,,,T. Villareal,University of Massachusetts,Environmental Sciences Program,Boston,MA,USA
368,MARECOL,1996,17,1,Editorial Board,,,,P. Tyler,Southampton Oceanographic Centre,,Southampton,,UK
367,MARECOL,1996,17,1,Editorial Board,,,,J. T. Turner,University of Massachusetts,Biology Department,North Dartmouth,MA,USA
366,MARECOL,1996,17,1,Editorial Board,,,,C. Tomas,,,,,
365,MARECOL,1996,17,1,Editorial Board,,,,M. Sara,,,,,
364,MARECOL,1996,17,1,Editorial Board,,,,K. Rutzler,,,,,
363,MARECOL,1996,17,1,Editorial Board,,,,M. Ribeira,"Stazione Zoologica ""Anton Dohrn""",,Naples,,Italy
362,MARECOL,1996,17,1,Editorial Board,,,,F. D. Por,,,,,
361,MARECOL,1996,17,1,Editorial Board,,,,H. Mukai,Hokkaido University,,,Hokkaido,Japan
360,MARECOL,1996,17,1,Editorial Board,,,,P. G. Moore,,,,,
359,MARECOL,1996,17,1,Editorial Board,,,,A. Logan,,,,,
358,MARECOL,1996,17,1,Editorial Board,,,,A. Ianora,,,,,
357,MARECOL,1996,17,1,Editorial Board,,,,H. Fricke,,,,,
356,MARECOL,1996,17,1,Editorial Board,,,,H. Felbeck,,,,,
355,MARECOL,1996,17,1,Editorial Board,,,,M. Estrada,,,,,
354,MARECOL,1996,17,1,Editorial Board,,,,R. Elmgren,,,,,
353,MARECOL,1996,17,1,Editorial Board,,,,A. Eleftheriou,,,,,
352,MARECOL,1996,17,1,Editorial Board,,,,W. C. Dullo,,,,,
351,MARECOL,1996,17,1,Editorial Board,,,,G. C. Carrada,,,,,
350,MARECOL,1996,17,1,Editorial Board,,,,C. F. Boudouresque,,,,,
349,MARECOL,1996,17,1,Editorial Board,,,,A. Benovic,,,,,
