JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
JZ,1990,220,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1991,223,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1992,226,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1993,229,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1994,232,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1995,235,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1996,238,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1997,241,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1989,216,,Publications Committee,J.B. Messenger,J,B,Messenger,,,,,
JZ,1990,220,,Publications Committee,J.B. Messenger,J,B,Messenger,,,,,
JZ,1991,223,,Publications Committee,J.B. Messenger,J,B,Messenger,,,,,
JZ,2001,253,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2002,256,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2003,259,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2005,265,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2006,,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,1989,216,,Publications Committee,J.D. Pye,J,D,Pye,,,,,
JZ,1990,220,,Publications Committee,J.D. Pye,J,D,Pye,,,,,
JZ,1990,220,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1991,223,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1992,226,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1993,229,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1994,232,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1997,241,,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,1998,244,1,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,1999,247,1,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,2000,250,1,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,1996,238,,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1997,241,,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1998,244,1,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1999,247,1,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,2000,250,1,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1996,238,,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1997,241,,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1998,244,1,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1999,247,1,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,2000,250,1,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1991,223,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1992,226,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1993,229,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1994,232,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1995,235,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,2001,253,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2002,256,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2003,259,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2005,265,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2006,,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,1999,247,1,Assistant Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2000,250,1,Assistant Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2001,253,1,Assistant Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2002,256,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2003,259,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2005,265,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
