FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Patricia,,Escalante,,Associate Editor,UniversidadNacional Autonoma de Mexico,None given,None given,None given,,None given,2002
Thomas,C,Grubb,Jr,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2002
Shannon,J,Hackett,,Associate Editor,Field Museum of Natural History,None given,None given,None given,,None given,2002
William,L,Hohman,,Associate Editor,Iowa State  University,None given,None given,None given,,None given,2002
William,H,Karasov,,Associate Editor,University of Wisconsin,None given,None given,None given,,None given,2002
Bette,A,Loiselle,,Associate Editor,University of Missouri,None given,None given,None given,,None given,2002
Carl,D,Marti,,Associate Editor,Boise State  University,None given,None given,None given,,None given,2002
Frank,R,Moore,,Associate Editor,University of Southern Mississippi,None given,None given,None given,,None given,2002
Michael,T,Murphy,,Associate Editor,Portland State  University,None given,None given,None given,,None given,2002
Douglas,A,Nelson,,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2002
David,N,Nettleship,,Associate Editor,Lundy Environmental Consulting,None given,None given,None given,,None given,2002
Abby,N,Powell,,Associate Editor,University of Alaska,None given,None given,None given,,None given,2002
Richard,O,Prum,,Associate Editor,University of Kansas,None given,None given,None given,,None given,2002
Spencer,G,Sealy,,Associate Editor,University of Manitoba,None given,None given,None given,,None given,2002
Frederick,H,Sheldon,,Associate Editor,Louisiana State  University,None given,None given,None given,,None given,2002
Loren,M,Smith,,Associate Editor,Texas Tech  University,None given,None given,None given,,None given,2002
Frank,R,Thompson,,Associate Editor,North Central Research Station,None given,None given,None given,,None given,2002
R,Todd,Engstrom,,Book Review Editor,Tall Timber Research Station ,None given,Tallahassee,USA,,Florida,2002
Kimberly,G,Smith,,Editor,University of Arkansas,Department of Biological Sciences,Fayetteville,USA,,Arkansas,2003
Bradley,R,Plummer,,Managing Editor,None given,None given,None given,None given,,None given,2003
Rebecca,M,Braucht,,Proof Editor,None given,None given,None given,None given,,None given,2003
Glen ,M,Fergunson,II,Editorial Assistant,None given,None given,None given,None given,,None given,2003
Margaret,,Brittingham,,Associate Editor,Penn State  University,None given,None given,None given,,None given,2003
Alan,E,Burger,,Associate Editor,University of Victoria,None given,None given,None given,,None given,2003
Patricia,,Escalante,,Associate Editor,UniversidadNacional Autonoma de Mexico,None given,None given,None given,,None given,2003
Robert,C,Fleischer,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2003
Thomas,C,Grubb,Jr,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2003
Shannon,J,Hackett,,Associate Editor,Field Museum of Natural History,None given,None given,None given,,None given,2003
William ,L,Hohman,,Associate Editor,Iowa State  University,None given,None given,None given,,None given,2003
William,H,Karasov,,Associate Editor,University of Wisconsin,None given,None given,None given,,None given,2003
Carl,D,Marti,,Associate Editor,Boise State  University,None given,None given,None given,,None given,2003
Carlos,,Martinez del Rio,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2003
Frank,R,Moore,,Associate Editor,University of Southern Mississippi,None given,None given,None given,,None given,2003
