FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Daniel ,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2004
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2005
Melanie,K,Rathburn,,Managing Editor,None given ,None given,None given,None given,,None given,2005
Barbara,,Kus,,Book Review Editor,None given ,None given,None given,None given,,None given,2005
Mark,R,Johnson,,Editorial Assistant,None given ,None given,None given,None given,,None given,2005
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2005
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2005
Daniel,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2005
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2006
Thalia,,Sachtleben,,Managing Editor,None given ,None given,None given,None given,,None given,2006
David,L,Swanson,,Book Review Editor,None given ,None given,None given,None given,,None given,2006
Marisa,E,Gillaspie,,Editorial Assistant,None given ,None given,None given,None given,,None given,2006
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2006
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2006
Daniel,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2006
David,S,Dobkin,,Editor,None given ,None given,None given,None given,,None given,2007
Thalia,,Sachtleben,,Managing Editor,None given ,None given,None given,None given,,None given,2007
David,L,Swanson,,Book Review Editor,None given ,None given,None given,None given,,None given,2007
Damian,,Fagan,,Editorial Assistant,None given ,None given,None given,None given,,None given,2007
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2007
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2007
Daniel,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2007
Michael,A,Pattern,,Editor in Chief,None given ,None given,None given,None given,,None given,2007
Philip,,Unitt,,Managing Editor,None given ,None given,None given,None given,,None given,2007
David,L,Swanson,,Book Review Editor,None given ,None given,None given,None given,,None given,2007
Brenda,D,Smith Pattern,,Editorial Assistant,None given ,None given,None given,None given,,None given,2007
Lucio,R,Malizia,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2007
Cintia,,Cornelius,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2007
Daniel,,Cadena,,Spanish Abstract Translations,None given ,None given,None given,None given,,None given,2007
Michael,A,Pattern,,Editor in Chief,None given ,None given,None given,None given,,None given,2010
Philip,,Unitt,,Managing Editor,None given ,None given,None given,None given,,None given,2010
David,L,Swanson,,Book Review Editor,None given ,None given,None given,None given,,None given,2010
Brenda,D,Smith Pattern,,Editorial Assistant,None given ,None given,None given,None given,,None given,2010
