JOURNAL,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,YEAR,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
AMNAT,149,1,3428,Stephen,R,Palumbi,1997,Stephen R Palumbi,Editorial.Board,SE,Harvard University,,Cambridge,Massachussetts,USA,USA,
AMNAT,149,1,3782,Wilfred,M,Post,1997,Wilfred M Post,Editorial.Board,SE,,,,,USA,USA,
AMNAT,149,1,3203,Robert,E,Ricklefs,1997,Robert E Ricklefs,Editorial.Board,SE,,,,,USA,USA,
AMNAT,149,1,345,Bernard,D,Roitberg,1997,Bernard D Roitberg,Editorial.Board,SE,,,,,Canada,CAN,
AMNAT,149,1,858,Douglas,W,Schemske,1997,Douglas W Schemske,Editorial.Board,SE,University of Washington,,Seattle,Washington,USA,USA,
AMNAT,149,1,3218,Ruth,G,Shaw,1997,Ruth G Shaw,Editorial.Board,SE,,,,,USA,USA,
AMNAT,149,1,3227,Robert,W,Sterner,1997,Robert W Sterner,Editorial.Board,SE,,,,,USA,USA,
AMNAT,149,1,2584,Marcy,,Uyenoyama,1997,Marcy Uyenoyama,Editorial.Board,SE,,,,,USA,USA,
AMNAT,149,1,1935,J,Bruce,Walsh,1997,J Bruce Walsh,Editorial.Board,SE,,,,,USA,USA,
AMNAT,149,1,2623,Marlene,,Zuk,1997,Marlene Zuk,Editorial.Board,SE,"University of California, Riverside",,Riverside,California,USA,USA,
