no,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,other address,,,,2017 current address,,,
113,JECOL,1993,81,1,644,David,R,Causton,David R Causton,SE,SE,NoInst,,Aberystwyth,,UK,GBR,,,,,,,,
114,JECOL,1993,81,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,Dublin,,Ireland,IRL,,,,,,,,
115,JECOL,1993,81,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,Ascot,,UK,GBR,,,,,,,,
116,JECOL,1993,81,1,2342,M,S,Davies,M S Davies,SE,SE,NoInst,,Cardiff,,UK,GBR,,,,,,,,
117,JECOL,1993,81,1,74,Alastair,H,Fitter,Alastair H Fitter,AE,AE,York University,,York,,UK,GBR,,,,,,,,
118,JECOL,1993,81,1,690,David,R,Foster,David R Foster,SE,SE,NoInst,,Petersham,,USA,USA,,,,,,,,
119,JECOL,1993,81,1,703,David,J,Gibson,David J Gibson,SE,SE,NoInst,,Carbondale,,USA,USA,,,,,,,,
120,JECOL,1993,81,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,Wareham,,UK,GBR,,,,,,,,
121,JECOL,1993,81,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,Brighton,,UK,GBR,,,,,,,,
122,JECOL,1993,81,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,Toronto,,Canada,CAN,,,,,,,,
123,JECOL,1993,81,1,3851,Andrew,J,Lack,Andrew J Lack,SE,SE,NoInst,,Oxford,,UK,GBR,,,,,,,,
124,JECOL,1993,81,1,1704,John,A,Lee,John A Lee,SE,SE,NoInst,,Manchester,,UK,GBR,,,,,,,,
125,JECOL,1993,81,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,EIC,EIC,Open Unversity,,Milton Keynes,,UK,GBR,,,,,,,,
126,JECOL,1993,81,1,3234,Roy,,Turkington,Roy Turkington,SE,SE,NoInst,,Vancouver,,Canada,CAN,,,,,,,,
127,JECOL,1993,81,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NoInst,,Leiden,,Netherlands,NLD,,,,,,,,
128,JECOL,1993,81,1,1924,Jan,,VanGroenendael,Jan VanGroenendael,AE,AE,Agricultural University,,Wageningen,,Netherlands,NLD,,,,,,,,
129,JECOL,1993,81,1,230,Arthur,J,Willis,Arthur J Willis,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
130,JECOL,1993,81,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
131,JECOL,1994,82,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,Ascot,,UK,GBR,,,,,,,,
132,JECOL,1994,82,1,74,Alastair,H,Fitter,Alastair H Fitter,AE,AE,York University,,York,,UK,GBR,,,,,,,,
133,JECOL,1994,82,1,690,David,R,Foster,David R Foster,SE,SE,NoInst,,Petersham,,USA,USA,,,,,,,,
134,JECOL,1994,82,1,703,David,J,Gibson,David J Gibson,SE,SE,NoInst,,Carbondale,,USA,USA,,,,,,,,
135,JECOL,1994,82,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,Wareham,,UK,GBR,,,,,,,,
136,JECOL,1994,82,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,Brighton,,UK,GBR,,,,,,,,
137,JECOL,1994,82,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,Toronto,,Canada,CAN,,,,,,,,
138,JECOL,1994,82,1,3851,Andrew,J,Lack,Andrew J Lack,SE,SE,NoInst,,Oxford,,UK,GBR,,,,,,,,
139,JECOL,1994,82,1,1704,John,A,Lee,John A Lee,SE,SE,NoInst,,Manchester,,UK,GBR,,,,,,,,
140,JECOL,1994,82,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NoInst,,London,,UK,GBR,,,,,,,,
141,JECOL,1994,82,1,351,Bernhard,,Schmid,Bernhard Schmid,SE,SE,NoInst,,Zurich,,Switzerland,CHE,,,,,,,,
142,JECOL,1994,82,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,EIC,EIC,Open Unversity,,Milton Keynes,,UK,GBR,,,,,,,,
143,JECOL,1994,82,1,3234,Roy,,Turkington,Roy Turkington,SE,SE,NoInst,,Vancouver,,Canada,CAN,,,,,,,,
144,JECOL,1994,82,1,1924,Jan,,VanGroenendael,Jan VanGroenendael,AE,AE,Agricultural University,,Wageningen,,Netherlands,NLD,,,,,,,,
145,JECOL,1994,82,1,2611,Mark,,Williamson,Mark Williamson,SE,SE,NoInst,,York,,UK,GBR,,,,,,,,
146,JECOL,1994,82,1,230,Arthur,J,Willis,Arthur J Willis,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
147,JECOL,1994,82,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
148,JECOL,1995,83,1,2364,Michael,,Fenner,Michael Fenner,SE,SE,NoInst,,Southampton,,UK,GBR,,,,,,,,
149,JECOL,1995,83,1,74,Alastair,H,Fitter,Alastair H Fitter,AE,AE,York University,,York,,UK,GBR,,,,,,,,
150,JECOL,1995,83,1,703,David,J,Gibson,David J Gibson,SE,SE,NoInst,,Carbondale,,USA,USA,,,,,,,,
151,JECOL,1995,83,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,Wareham,,UK,GBR,,,,,,,,
152,JECOL,1995,83,1,2175,Laura,,Huenneke,Laura Huenneke,SE,SE,NoInst,,New Mexico,,USA,USA,,,,,,,,
153,JECOL,1995,83,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,Brighton,,UK,GBR,,,,,,,,
154,JECOL,1995,83,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,Toronto,,Canada,CAN,,,,,,,,
155,JECOL,1995,83,1,3374,Susan,,Kalisz,Susan Kalisz,SE,SE,NoInst,,Hickory Coners,,USA,USA,,,,,,,,
156,JECOL,1995,83,1,3851,Andrew,J,Lack,Andrew J Lack,SE,SE,NoInst,,Oxford,,UK,GBR,,,,,,,,
157,JECOL,1995,83,1,1704,John,A,Lee,John A Lee,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
158,JECOL,1995,83,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NoInst,,London,,UK,GBR,,,,,,,,
159,JECOL,1995,83,1,2070,Kurt,S,Pregitzer,Kurt S Pregitzer,SE,SE,NoInst,,Houghton,,USA,USA,,,,,,,,
160,JECOL,1995,83,1,1349,Honor,C,Prentice,Honor C Prentice,SE,SE,NoInst,,Lund,,Sweden,SWE,,,,,,,,
161,JECOL,1995,83,1,351,Bernhard,,Schmid,Bernhard Schmid,SE,SE,NoInst,,Zurich,,Switzerland,CHE,,,,,,,,
162,JECOL,1995,83,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,EIC,EIC,Open University,,Milton Keynes,,UK,GBR,,,,,,,,
163,JECOL,1995,83,1,3234,Roy,,Turkington,Roy Turkington,SE,SE,NoInst,,Vancouver,,Canada,CAN,,,,,,,,
164,JECOL,1995,83,1,1924,Jan,,VanGroenendael,Jan VanGroenendael,AE,AE,Agricultural University,,Wageningen,,Netherlands,NLD,,,,,,,,
165,JECOL,1995,83,1,2611,Mark,,Williamson,Mark Williamson,SE,SE,NoInst,,York,,UK,GBR,,,,,,,,
166,JECOL,1995,83,1,230,Arthur,J,Willis,Arthur J Willis,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
167,JECOL,1995,83,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
168,JECOL,1996,84,1,50,Anthony,J,Davy,Anthony J Davy,SE,SE,NoInst,,Norwich,,UK,GBR,,,,,,,,
169,JECOL,1996,84,1,2364,Michael,,Fenner,Michael Fenner,SE,SE,NoInst,,Southampton,,UK,GBR,,,,,,,,
170,JECOL,1996,84,1,74,Alastair,H,Fitter,Alastair H Fitter,AE,AE,York University,,,,UK,GBR,,,,,,,,
171,JECOL,1996,84,1,703,David,J,Gibson,David J Gibson,SE,SE,NoInst,,Carbondale,,USA,USA,,,,,,,,
172,JECOL,1996,84,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,Wareham,,UK,GBR,,,,,,,,
173,JECOL,1996,84,1,2175,Laura,,Huenneke,Laura Huenneke,SE,SE,NoInst,,New Mexico,,USA,USA,,,,,,,,
174,JECOL,1996,84,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,Brighton,,UK,GBR,,,,,,,,
175,JECOL,1996,84,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,Toronto,,Canada,CAN,,,,,,,,
176,JECOL,1996,84,1,3374,Susan,,Kalisz,Susan Kalisz,SE,SE,NoInst,,Pittsburgh,,USA,USA,,,,,,,,
177,JECOL,1996,84,1,3851,Andrew,J,Lack,Andrew J Lack,SE,SE,NoInst,,Oxford,,UK,GBR,,,,,,,,
178,JECOL,1996,84,1,1704,John,A,Lee,John A Lee,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
179,JECOL,1996,84,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NoInst,,London,,UK,GBR,,,,,,,,
180,JECOL,1996,84,1,2070,Kurt,S,Pregitzer,Kurt S Pregitzer,SE,SE,NoInst,,Houghton,,USA,USA,,,,,,,,
181,JECOL,1996,84,1,1349,Honor,C,Prentice,Honor C Prentice,SE,SE,NoInst,,Lund,,Sweden,SWE,,,,,,,,
182,JECOL,1996,84,1,2524,Malcolm,C,Press,Malcolm C Press,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
183,JECOL,1996,84,1,351,Bernhard,,Schmid,Bernhard Schmid,SE,SE,NoInst,,Zurich,,Switzerland,CHE,,,,,,,,
184,JECOL,1996,84,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,EIC,EIC,Open University,,Milton Keynes,,UK,GBR,,,,,,,,
185,JECOL,1996,84,1,2104,Ken,,Thompson,Ken Thompson,SE,SE,NoInst,,Sheffield,,UK,GBR,,,,,,,,
186,JECOL,1996,84,1,3234,Roy,,Turkington,Roy Turkington,SE,SE,NoInst,,Vancouver,,Canada,CAN,,,,,,,,
187,JECOL,1996,84,1,1924,Jan,,VanGroenendael,Jan VanGroenendael,AE,AE,Agricultural University,,Wageningen,,Netherlands,NLD,,,,,,,,
188,JECOL,1996,84,1,2611,Mark,,Williamson,Mark Williamson,SE,SE,NoInst,,York,,UK,GBR,,,,,,,,
189,JECOL,1996,84,1,230,Arthur,J,Willis,Arthur J Willis,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
190,JECOL,1996,84,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,sheffield,,UK,GBR,,,,,,,,
191,JECOL,1997,85,1,50,Anthony,J,Davy,Anthony J Davy,AE,AE,University of East Anglia,,Norwich,,UK,GBR,,,,,,,,
192,JECOL,1997,85,1,2364,Michael,,Fenner,Michael Fenner,SE,SE,NoInst,,Southampton,,UK,GBR,,,,,,,,
193,JECOL,1997,85,1,74,Alastair,H,Fitter,Alastair H Fitter,SE,SE,NoInst,,York,,UK,GBR,,,,,,,,
194,JECOL,1997,85,1,703,David,J,Gibson,David J Gibson,SE,SE,NoInst,,Carbondale,,USA,USA,,,,,,,,
195,JECOL,1997,85,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,Wareham,,UK,GBR,,,,,,,,
196,JECOL,1997,85,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NoInst,,Hokkaido,,Japan,JPN,,,,,,,,
197,JECOL,1997,85,1,2175,Laura,,Huenneke,Laura Huenneke,SE,SE,NoInst,,New Mexico,,USA,USA,,,,,,,,
198,JECOL,1997,85,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,Brighton,,UK,GBR,,,,,,,,
199,JECOL,1997,85,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,,,Canada,CAN,,,,,,,,
200,JECOL,1997,85,1,3374,Susan,,Kalisz,Susan Kalisz,SE,SE,NoInst,,Pittsburgh,,USA,USA,,,,,,,,
