,journal,year,volume,issue,editor_id.x,editor_id.y,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes
40,OECOL,2011,165,1,459,NA,Catherine,NA,Gehring,Handling.Editor,SE,Northern Arizona University ,missing,Flagstaff,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
88,OECOL,2011,165,1,993,NA,Elena,NA,Litchman,Handling.Editor,SE,Michigan State University ,missing,Hickory Corners,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
93,OECOL,2011,165,1,1336,NA,Helene,NA,Marsh,Handling.Editor,SE,James Cook University,missing,Townsville,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
96,OECOL,2011,165,1,534,NA,Caroline,NA,Mueller,Handling.Editor,SE,University of Bielefeld,missing,Bielefeld,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
106,OECOL,2011,165,1,2892,NA,Pedro,NA,Peres-Neto,Handling.Editor,SE,University of Quebec,missing,Montreal,missing,Canada,NA,CAN,NA,NA,DOUBLE CHECK INST
111,OECOL,2011,165,1,1348,NA,Hannu,NA,Poysa,Handling.Editor,SE,Finnish Game and Fisheries Research Institute,missing,Joensuu,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
127,OECOL,2011,165,1,2239,NA,Lin,NA,Schwarzkopf,Handling.Editor,SE,James Cook University,missing,Townsville,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
128,OECOL,2011,165,1,3466,NA,Susan,NA,Schwinning,Handling.Editor,SE,SW Texas State University ,missing,San Marcos,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
158,OECOL,2011,165,1,599,NA,Christian,NA,Wirth,Handling.Editor,SE,University of Leipzig,missing,Johannisallee,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
8,OECOL,2012,170,2,3278,NA,Stuart,NA,Bearhop,Handling.Editor,SE,University of Exeter ,missing,Cornwall,missing,United Kingdom,NA,GBR,NA,NA,DOUBLE CHECK INST
12,OECOL,2012,170,2,1465,NA,James,NA,Bever,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
27,OECOL,2012,170,2,959,NA,Elizabeth,NA,Elle,Handling.Editor,SE,Simon Fraser University,missing,Burnaby,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
42,OECOL,2012,170,2,2158,NA,Laura,NA,Gough,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
50,OECOL,2012,170,2,1200,NA,George,NA,Heimpel,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
58,OECOL,2012,170,2,1400,NA,Ines,NA,Ibanez,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
