,journal,year,volume,issue,editor_id,first_name,middle_name,last_name,title,inst,unit,city,state,country,notes
54,OIKOS,2009,118,1,1547,Jose,Alexandre,Diniz-Filho,Subject.Editor,Univ Fed Goias,Dept Biol Geral,Goiania,Goias,Brazil,
55,OIKOS,2008,117,1,1552,Jennifer,NA,Dunne,Subject.Editor,Santa Fe Institute,NA,Santa Fe,New Mexico,USA,"Also:Pacific Ecoinformat & Computat Ecol Lab, Berkeley, CA"
56,OIKOS,2011,120,1,1552,Jennifer,NA,Dunne,Subject.Editor,Santa Fe Institute,NA,Santa Fe,New Mexico,USA,"Also:Pacific Ecoinformat & Computat Ecol Lab, Berkeley, CA"
57,OIKOS,2012,121,1,1678,Johan,NA,Kotze,Subject.Editor,University of Helsinki,Environmental Science,Helsinki,NA,Finland,
58,OIKOS,2004,104,1,1715,Jan,NA,Lindstrom,Subject.Editor,Univ Glasgow,Inst Biomed & Life Sci Div Environm & Evolutionary Biol,Glasgow,Lanark,United Kingdom,
59,OIKOS,2005,108,1,1757,Jane,NA,Memmott,Subject.Editor,University of Bristol,Sch Biol Sci,Bristol,Avon,United Kingdom,
60,OIKOS,2008,117,1,1846,James,D,Roth,Subject.Editor,University of Central Florida,Biology ,Orlando,FL,USA,
61,OIKOS,2011,120,1,1846,James,D,Roth,Subject.Editor,University of Central Florida,Biology ,Orlando,FL,USA,
62,OIKOS,2009,118,1,1850,Jennifer,NA,Rudgers,Subject.Editor,Rice University,Dept Ecol & Evolutionary Biol,Houston,TX,USA,
63,OIKOS,2011,120,1,1850,Jennifer,NA,Rudgers,Subject.Editor,Rice University,Dept Ecol & Evolutionary Biol,Houston,TX,USA,
64,OIKOS,2007,116,1,1866,Jonathan,NA,Shurin,Subject.Editor,Univ British Columbia,Zoology,Vancouver,British Columbia,Canada,
65,OIKOS,2011,120,1,1866,Jonathan,NA,Shurin,Subject.Editor,Univ British Columbia,Zoology,Vancouver,British Columbia,Canada,
66,OIKOS,2011,120,1,1918,Jotaro,NA,Urabe,Subject.Editor, Tohoku University ,Grad Sch Life Sci,Sendai,Miyagi,Japan,
67,OIKOS,2009,118,1,1923,Jan,NA,VanGils,Subject.Editor,NIOZ Royal Netherlands Inst Sea Res,Marine Ecology,Den Burg,NA,Netherlands,
68,OIKOS,2011,120,1,1923,Jan,NA,VanGils,Subject.Editor, NIOZ Royal Netherlands Inst Sea Res,Marine Ecology,Den Burg,NA,Netherlands,
69,OIKOS,2007,116,1,1932,John,NA,Vucetich,Subject.Editor,Michigan Technol Univ,Sch Forestry Resources & Environm Sci,Houghton,MI,USA,
70,OIKOS,2011,120,1,1932,John,NA,Vucetich,Subject.Editor,Michigan Technol Univ,Sch Forestry Resources & Environm Sci,Houghton,MI,USA,
71,OIKOS,2013,122,1,1979,Koos,NA,Biesmeijer,Subject.Editor,Naturalis Biodivers Ctr,NA,Leiden,NA,Netherlands,
72,OIKOS,2009,118,1,2023,Karin,NA,Johst,Subject.Editor,UFZ Helmholtz Ctr Environm Res,Dept Ecol Modelling,Leipzig,NA,Germany,
73,OIKOS,2011,120,1,2023,Karin,NA,Johst,Subject.Editor,UFZ Helmholtz Ctr Environm Res,Dept Ecol Modelling,Leipzig,NA,Germany,
74,OIKOS,2013,122,1,2054,Kailen,NA,Mooney,Subject.Editor, Univ Calif Irvine,NA,Irvine,CA,USA,
75,OIKOS,2007,116,1,2082,Kenneth,NA,Schmidt,Subject.Editor,Texas Tech,Biology ,Lubbock,TX,USA,
76,OIKOS,2013,122,1,2082,Kenneth,NA,Schmidt,Subject.Editor,Texas Tech,Biology ,Lubbock,TX,USA,
77,OIKOS,2006,112,1,2100,Kathy,NA,Suding,Subject.Editor,University of California Irvine,Dept Ecol & Evolutionary Biol,Irvine,CA,USA,
78,OIKOS,2007,116,1,2119,Lonnie,W,Aarsen,Subject.Editor,NA,NA,Kingston,Ontario,Canada,
79,OIKOS,2011,120,1,2119,Lonnie,W,Aarsen,Subject.Editor,NA,NA,NA,NA,Canada,
80,OIKOS,2004,104,1,2216,Lauri,NA,Oksanen,Subject.Editor,Umea Univ,Dept Ecol & Environm Sci,Umea,NA,Sweden,
81,OIKOS,2005,108,1,2221,Lennart,NA,Persson,Subject.Editor,Umea Univ,Dept Ecol & Environm Sci,Umea,NA,Sweden,
82,OIKOS,2012,121,1,2259,Louie,H,Yang,Subject.Editor,Univ Calif Davis, Dept Entomol,Davis,CA,USA,
83,OIKOS,2007,116,1,2283,Mathew,NA,Ayres,Subject.Editor,Dartmouth College,Biological Science,Hanover,NH,USA,
84,OIKOS,2011,120,1,2283,Mathew,NA,Ayres,Subject.Editor,Dartmouth College,Biological Science,Hanover,NH,USA,
85,OIKOS,2013,122,1,2297,Matty,P,Berg,Subject.Editor,Vrije Univ Amsterdam,Fac Earth & Life Sci,Amsterdam,NA,Netherlands,
86,OIKOS,2006,112,1,2304,Mike,NA,Bonsall,Subject.Editor,Univ Oxford,Dept Zool,Oxford,England,United Kingdom,
87,OIKOS,2011,120,1,2304,Mike,NA,Bonsall,Subject.Editor,Univ Oxford,Dept Zool,Oxford,England,United Kingdom,
88,OIKOS,2012,121,1,2308,Mathew,NA,Bracken,Subject.Editor,Northeastern Univ, Ctr Marine Sci,Nahant,MA,USA,
89,OIKOS,2004,104,1,2371,Mads,NA,Forchhammer,Subject.Editor,Univ Copenhagen,Dept Populat Bio,Copenhagen,NA,Denmark,
90,OIKOS,2012,121,1,2466,Margie,NA,Mayfield,Subject.Editor,Univ Queensland,Sch Biol Sci,Brisbane,Queensland,Australia,
91,OIKOS,2004,104,1,2498,Mikael,NA,Ohlson,Subject.Editor,Agr Univ Norway,Dept Biol & Nat Conservat,As,NA,Norway,
92,OIKOS,2011,120,1,2530,Martin,NA,Quigley,Subject.Editor,University of Denver,NA,Denver,CO,USA,
93,OIKOS,2014,123,1,2552,Michael,NA,Scherer_Lorenzon,Subject.Editor,NA,NA,NA,NA,Germany,
94,OIKOS,2009,118,1,2567,Martin,NA,Solan,Subject.Editor,University Aberdeen,Oceanlab,Newburgh,Aberdeen,Scotland,
95,OIKOS,2011,120,1,2567,Martin,NA,Solan,Subject.Editor,University Aberdeen,Inst Biol & Environm Sci,Newburgh,Aberdeen,Scotland,
96,OIKOS,2014,123,1,2574,Mei,NA,Sun,Subject.Editor,NA,NA,NA,NA,China,
97,OIKOS,2012,121,1,2576,Matthew,NA,Symonds,Subject.Editor,Deakin University ,School of Life and Environmental Science,Burwood,Victoria ,Australia,
98,OIKOS,2009,118,1,2590,Mark,NA,Vellend,Subject.Editor,University of British Columbia,Zoology ,Vancouver,British Columbia,Canada,
99,OIKOS,2011,120,1,2590,Mark,NA,Vellend,Subject.Editor,University of British Columbia,Zoology and Botany,Vancouver,British Columbia,Canada,
100,OIKOS,2010,119,1,2594,Matthijs,NA,Vos,Subject.Editor,University of Potsdam,Dept Ecol & Ecosyst Modelling,Potsdam,NA,Germany,
101,OIKOS,2011,120,1,2594,Matthijs,NA,Vos,Subject.Editor,University of Potsdam,Dept Ecol & Ecosyst Modelling,Potsdam,NA,Germany,
102,OIKOS,2013,122,1,2615,Monica,NA,Winder,Subject.Editor,Stockholm University,NA,Stockholm,NA,Sweden,
103,OIKOS,2007,116,1,2648,Nicholas,NA,Gotelli,Subject.Editor,University of Vermont,Biology ,Burlington,VT,USA,
104,OIKOS,2005,108,1,2715,Ove,NA,Eriksson,Subject.Editor,Stockholm University,Botany,Stockholm,NA,Sweden,
105,OIKOS,1985,44,1,2723,O,NA,Jarvinen,Editorial.Board,University of Helsinki ,Zoology,Helsinki,NA,Finland,
106,OIKOS,2007,116,1,2732,Owen,NA,Petchey,Subject.Editor,University of Sheffield ,Animal and Plant Science,Sheffield,Yorkshire,United Kingdom,
107,OIKOS,2011,120,1,2819,Paulo,NA,Guimaraes,Subject.Editor,University of Sao Paulo,Ecology,Sao Paulo,NA,Brazil,
108,OIKOS,2006,112,1,2878,Pia,NA,Mutikainen,Subject.Editor,Univeristy of Oulu,Biology ,Oulu,NA,Finland,
109,OIKOS,2009,118,1,2878,Pia,NA,Mutikainen,Subject.Editor,Swiss Federal Institute of Technology, Inst Integrat Biol,Zurich,NA,Switzerland,
110,OIKOS,2012,121,1,2941,Peter,NA,Todd,Subject.Editor,National University of Singapore, Expt Marine Ecol Lab,Singapore,NA,Singapore,
111,OIKOS,2013,122,1,3000,Rein,NA,Brys,Subject.Editor,University of Leuven,Biology ,Louvain,NA,Belgium,
112,OIKOS,2009,118,1,3053,Rampal,NA,Etienne,Subject.Editor,University of Groningen,Ctr Ecol & Evolutionary Studies,Groningen,NA,Netherlands,
